Item,Price,Date
Very Hot Bird's Eye Chillies 30g,10.99,2020-08-26
Seasonal Fruit Salad Snackpot 200g,19.99,2020-08-26
Petite Herb Leaf Salad 60g,28.99,2020-08-26
Rosa Tomato Salad 190g,27.99,2020-08-26
Pick & Mix Watercress 40g,16.99,2020-08-26
Creamed Spinach 300g,42.00,2020-08-26
Top Red Apples 4Pk,21.99,2020-08-26
Baby Carrots 350g,24.99,2020-08-26
Brown Mushrooms 400g,45.99,2020-08-26
Mediterranean Potatoes 1.5Kg,31.99,2020-08-26
Ripen at Home Pears 1.5Kg,29.99,2020-08-26
Fresh Egg Noodles 250g,22.00,2020-08-26
Beetroot Spirals 80g,14.99,2020-08-26
Fresh Coriander 80g,22.99,2020-08-26
Carrot & Celery Fingers 200g,18.99,2020-08-26
Papaya & Berry Fruit Salad 315g,39.99,2020-08-26
Red Pepper,12.00,2020-08-26
Bright & Crunchy Stir-Fry Mix 375g,32.00,2020-08-26
Pick & Mix Solo Leaf Iceberg Lettuce 300g,24.99,2020-08-26
Solo Leaf Baby Spinach 80g,19.99,2020-08-26
Carrot Batons 100g,14.99,2020-08-26
Crispy Onion Sprinkle 100g,21.99,2020-08-26
Very Hot Bird's Eye Chillies 30g,10.99,2020-08-26
Bulk Italian Salad 300g,28.99,2020-08-26
Sliced Red Onions 70g,16.99,2020-08-26
Seasonal Fruit Salad Snackpot 200g,19.99,2020-08-26
Spinach & Cauliflower Noodles 250g,44.99,2020-08-26
Cauliflower Noodles 250g,44.99,2020-08-26
Petite Herb Leaf Salad 60g,28.99,2020-08-26
Asian Stir-Fry Vegetables 400g,36.00,2020-08-26
Pick & Mix Watercress 40g,16.99,2020-08-26
Medium Hot Serenade Chillies 60g,10.99,2020-08-26
Baby Marrow Spaghetti 300g,29.99,2020-08-26
Creamed Spinach 300g,42.00,2020-08-26
Top Red Apples 4Pk,21.99,2020-08-26
Baby Carrots 350g,24.99,2020-08-26
Brown Mushrooms 400g,45.99,2020-08-26
Mediterranean Potatoes 1.5Kg,31.99,2020-08-26
Crunchy Mix Sprouts 150g,17.99,2020-08-26
Fresh Basil 80g,22.99,2020-08-26
Baby Pak Choi 200g,29.99,2020-08-26
Mediterranean Vine Tomatoes 300g,28.99,2020-08-26
Fresh Medjool Dates 400g,66.99,2020-08-26
Baby Carrots 200g,29.99,2020-08-26
Cooked Beetroot in Vinaigrette 240g,19.99,2020-08-26
Bulk Papaya & Berry Fruit Salad 860g,69.99,2020-08-26
Bulk Greek Salad 450g,64.99,2020-08-26
Potato Bake with a Fresh Rosemary Wreath 1Kg,62.99,2020-08-26
Exotic Tomato Mix 600g,36.99,2020-08-26
Red Onions 5 String,36.99,2020-08-26
Crushed Ginger 50g,27.99,2020-08-26
Baby Butter Lettuce with Rocket & Basil 100g,24.99,2020-08-26
Bulk Piccolini Cherry Tomatoes 600g,36.99,2020-08-26
Fine Green Beans 280g,42.99,2020-08-26
Farmer's Vegetable Selection 330g,40.00,2020-08-26
Forelle Pears 4Pk,21.99,2020-08-26
Tangy Coleslaw 500g,42.99,2020-08-26
Stuffed Butternut 2 Halves,44.99,2020-08-26
